protocol,SID,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,gene
s-my-C5-m4-1,NCGC00274030-01,93.84686468,96.00132207,97.34503634,95.02671121,96.09083377,87.65213942,89.16076483,79.24714122,65.86498341,57.47368911,50.43054042,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-C5-m4-1,NCGC00346459-01,108.2625372,103.993315,105.7759502,109.4130071,105.4501106,106.6626875,100.4481905,91.9368511,76.82284603,65.12740698,33.98819877,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-C5-m4-1,NCGC00164600-03,114.6173933,111.8777151,109.1878238,113.0247251,112.7206433,116.5716189,114.7156855,105.4662823,22.31582766,-10.57059381,-27.1714788,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,PfATP6
s-my-C5-m4-1,NCGC00242490-02,100.2934059,94.12761158,96.21419068,95.5438606,93.35313584,76.88897445,85.54526686,68.38616239,67.98283959,50.78475057,-3.76480939,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,SRC
s-my-C5-m4-1,NCGC00015834-11,97.55610778,101.0299786,101.4371947,100.708732,104.6086628,98.51789338,108.917465,100.0801041,103.6705165,116.8855299,103.2426827,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-C5-m4-1,NCGC00344081-02,8.31276018,109.389165,94.35592811,99.43670611,95.75437788,99.43520948,103.2505873,100.2671979,82.347293,64.8861784,22.17617213,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-C5-m4-1,NCGC00090851-09,94.48892488,87.89047573,93.1017876,87.37498295,92.58198641,98.901432,100.0031535,102.8847921,105.6625861,88.69500895,31.36346928,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,DNMT1
s-my-C5-m4-1,NCGC00346457-01,103.9497903,104.3302112,111.420095,106.5308063,101.9111595,88.17581313,72.14855958,87.13655855,68.93772889,72.61461438,48.75782122,0.00039023,0.001170645,0.003511889,0.010535668,0.031606959,0.094820876,0.284462673,0.853387972,2.560163871,7.680491567,23.04147465,PIK3CA
s-my-C5-m4-1,NCGC00263203-02,104.0207979,98.28649714,103.0471853,101.3288832,105.6786618,102.422115,101.2562851,105.3964795,92.17193248,89.10540629,42.00890063,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,AURKA
s-my-C5-m4-1,NCGC00346541-01,109.5533039,105.3507717,96.49597894,103.51382,108.6969527,104.8060616,102.0929616,102.3792143,94.28566833,89.64079655,66.80313413,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,MTOR
s-my-C5-m4-1,NCGC00161834-01,115.2024337,113.3289887,111.3486449,108.9253189,118.9727496,115.839914,113.107071,110.1627639,99.81115522,83.90064899,50.53150117,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
