protocol,SID,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,gene
s-my-F2-m4-1,NCGC00263203-02,99.38020853,103.9592978,95.45495206,105.0295198,103.7985964,98.47448856,99.51493137,91.39942032,79.98854254,53.6328198,17.45800584,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,AURKA
s-my-F2-m4-1,NCGC00344081-02,104.614932,102.3827474,100.6883991,102.0375546,99.33512342,93.39783212,92.56358631,89.2768203,78.13926892,69.89307343,6.26164147,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-F2-m4-1,NCGC00164600-03,105.8099715,103.0557934,102.2594669,97.06093253,100.6125008,102.1220351,100.7816677,87.2968489,71.5497436,63.80416688,45.57081817,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,PfATP6
s-my-F2-m4-1,NCGC00242490-02,100.2535102,115.3238733,96.08324729,93.29464214,88.66853798,95.70791061,80.1994784,67.25272113,60.6147396,51.93842201,44.7481803,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,SRC
s-my-F2-m4-1,NCGC00015834-11,112.0198872,99.46478034,97.51518726,100.7670596,97.13057067,97.15169522,102.1349788,106.3098068,109.7789605,102.5153882,99.56647377,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
s-my-F2-m4-1,NCGC00346459-01,91.99150816,97.96247246,107.1703691,95.88810523,88.84041331,96.89717523,96.337726,89.49559419,78.28999789,62.81586191,69.4561056,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-F2-m4-1,NCGC00274030-01,109.0156635,108.3289758,100.2594073,100.098964,92.7155207,107.2969625,106.3257411,89.83380989,87.63143606,75.06235679,65.52141732,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,FGFR
s-my-F2-m4-1,NCGC00090851-09,96.51364637,98.58342198,99.99151991,97.06417687,94.27018873,111.7468565,106.8246061,110.8127815,107.2818637,59.68782519,49.78926958,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,DNMT1
s-my-F2-m4-1,NCGC00346457-01,97.12463975,101.6860639,104.8342476,104.7056748,96.67235163,83.7599976,72.91419796,83.32329766,85.05107772,79.32815522,86.50524694,0.00039023,0.001170645,0.003511889,0.010535668,0.031606959,0.094820876,0.284462673,0.853387972,2.560163871,7.680491567,23.04147465,PIK3CA
s-my-F2-m4-1,NCGC00346541-01,97.94103919,107.2503817,88.47642829,98.55092492,97.5944021,100.6261752,96.90907856,91.85334434,90.16183478,83.90016127,73.53400643,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,MTOR
s-my-F2-m4-1,NCGC00161834-01,105.3886406,95.6695393,97.1779587,98.83640221,103.9844441,101.4492295,108.6284697,93.38477513,89.36707021,71.13250857,49.53210402,0.000780415,0.002341244,0.007023779,0.02107129,0.063213917,0.189641751,0.5689253,1.706775899,5.120327696,15.36098309,46.08294931,NA
