Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00346607-01,CC(C)[C@@H]1C[C@@]23O[C@]1(O)CC(=C)[C@@H]2CC[C@@H]3C,Curcumol,,QRMPRVXWPCLVNI,mitochondrial modulator,
NCGC00095537-06,OCC(O)C(O)C(O)CO,ARABITOL(D),,HEBKCHPVOIAQTA,sugar alcohol,
NCGC00263217-01,O=C(NC1=CC2=C(C=C1)N=C(NC(=O)C3=CC=CC=C3)S2)C4C5CC6CC(C5)CC4C6,NVP231,,UDTWNDBVRLDPNE,Ceramide kinase inhibitor,CERS1
NCGC00263184-01,OC(=O)CCC1CCC(CC1)(C2=CC(=CC=C2F)F)[S+]([O-])(=O)C3=CC=C(Cl)C=C3,MK-0752,,GWXSGTHYRGRKNP,g-Secretase Inhibitor,NOTCH1
NCGC00094358-17,CC/1=C(\C=C\C(C)=C\C=C\C(C)=C/C(O)=O)C(C)(C)CCC1,ISOTRETINON,,SHGAZHPCJJPHSC,Retinoid RAR Agonists,RARB
NCGC00022567-08,NC1=NC(=NC2=C1N=C[N]2[C@H]3C[C@H](O)[C@@H](CO)O3)Cl,Cladribine,,PTOAARAWEBMLNO,Adenosine Deaminase Inhibitor,ADA
NCGC00262641-02,CC1=CC=C(C=C1)[S+]([O-])(=O)OCC(=O)NC2=CC=C(C(O)=O)C(=C2)O,NSC 74859 (S3I-201),,YGLOOZMZDMUGDT,STAT-3 Inhibitor,STAT3
NCGC00090782-07,CC1=C(C=CC=C1O)C(=O)N[C@@H](CSC2=CC=CC=C2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,Nelfinavir mesylate,,QAGYKUNXZHXKMR,HIV Protease Inhibitors,
NCGC00242480-01,CC(C)(C)C1=CC(=C(NC(=O)C/2=C/NC3=C(C=CC=C3)C2=O)C=C1O)C(C)(C)C,Ivacaftor;VX-770?,,PURKAOJPTOLRMP,CFTR Channel Activator,CFTR
NCGC00346972-01,CC1=CC(=CC(=C1)OCC2=CC=C(CN3CCC[C@@H]3CO)C=C2)C[S+]([O-])(=O)C4=CC=CC=C4,PF-543,,NPUXORBZRBIOMQ,Sphingosine Kinase 1 (SphK1) Inhibitors,SPHK1
NCGC00159455-04,COC1=CC2=NC=NC(=C2C=C1OCCCN3CCOCC3)NC4=CC=C(F)C(=C4)Cl,Gefitinib;Iressa/ZD-1839,ZD-1839;Iressa;ZD1839;ZD 1839;N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamide;(3-Chloro-4-fluorophenyl)[7-methoxy-6-(3-morpholinopropoxy)quinazolin-4-yl]amine;gefitinibum;CIPLUS_700352;gefitinib;4-(3-CHLORO-4-FLUOROPHENYLAMINO)-7-METHOXY-6-(3-(4-MORPHOLINYL)PROPOXY)QUINAZOLINE;Gefitinib;GEFITINIB;,XGALLCVXEZPNRQ,EGFR (HER1; erbB1) inhibitor,EGFR
NCGC00015121-16,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,PHENOXYBENZAMINE HYDROCHLORIDE,,QZVCTJOXCFMACW,adrenergenic receptor antagaonist,
NCGC00021146-06,C1=CC=C4C(=C1)NC(=O)N(CCN3CCC(C(=O)C2=CC=C(F)C=C2)CC3)C4=O,Ketanserin,"R 41,46;R-41,468;KETANSERIN;R-41468;KETANSERIN TARTRATE;NCGC00024865-03;CIPLUS_711598;Ketanserin tartrate salt;Ketanserin tartrate hydrate;NCGC00024865-04;KETANSERIN TARTATE;R 4146;NCGC00024865-01;NCGC00024865-02;2,4(1H,3H)-Quinazolinedione, 3-(2-(4-(4-fluorobenzoyl)-1-piperidinyl)ethyl)-;3-(2-(4-(p-Fluorobenzoyl)-1-piperidinyl)ethyl)-2,4(1H,3H)-quinazolinedione L-tartrate;NCGC00024865-05;3-(2-(4-(4-FLUOROBENZOYL)-1-PIPERIDINYL)ETHYL)-2,4(1H,3H)QUINAZOLINEDIONE;ketanserinum;CIPLUS_190847;3-(2-[4-(4-Fluorobenzoyl)-1-piperidinyl]ethyl)-2,4(1H,3H)-quinazolinedione tartrate salt;R 41468 tartrate salt;R4146;Ketanserin;3-(2-(4-(4-Fluorobenzoyl)piperidinol)ethyl)-2,4(1H,3H)-quinazolinedione;ketanserine;WHO NO. 5087;Ketanserin tartrate;Ketanserinum;ketanserin;R 41468;Ketanserina;Ketanserine;R41,46;NCGC00017140-01;2,4(1H,3H)-Quinazolinedione, 3-(2-(4-(4-fluorobenzoyl)-1-piperidinyl)ethyl)-,(R-(R*,R*))-2,3-dihydroxybutanedioate (1:1);NCGC00016200-01;LS-140148;NCGC00094444-01;LS-140149;NCGC_Prestw-392;",FPCCSQOGAWCVBH,5-HT2A Antagonists?,HTR2A
NCGC00017245-12,OC1=CC2=C3C(=C1O)OC(=O)C4=CC(=C(O)C(=C34)OC2=O)O,ELLAGIC ACID,,AFSDNFLWKVMVRB,Aldose Reductase Inhibitor,AKR1B1
NCGC00015771-12,CN(C)CCOC(C1=CC=CC=C1)C2=C(C)C=CC=C2,ORPHENADRINE CITRATE,,QVYRGXJJSLMXQH,Muscarinic Antagonists,
NCGC00094201-01,C[C@H](CC1=CC=C(O)C(=C1)O)[C@@H](C)CC2=CC(=C(O)C=C2)O,Nordihydroguaiaretic acid from Larrea divaricata (creosote bush),"NCGC00089785-03;1,2-BENZENEDIOL, 4,4'-(2,3-DIMETHYL-1,4-BUTANEDIYL)BIS-, (R*,S*)-;SP-134101;CIPLUS_153652;NORDIHYDROGUAIARETIC ACID;LS-136429;butane, 1,4-bis(3,4-dihydroxyphenyl)-2,3-dimethyl-;4,4'-(2,3 Dimethyl-1,4-butanediyl)bis(1,2-benzenediol);ACTINEX;CIPLUS_213635;4,4'-(2,3-Dimethyltetramethylene)dipyrocatechol;Nordihydroguaiaretic Acid;1,4-Bis(3,4-dihydroxyphenyl)-2,3-dimethylbutane;MASOPROCOL;Masoprocolum;NDGA;masoprocol;LS-174190;MESO-4,4'-(2,3-DIMETHYLTETRAMETHYLENE)DIPYROCATECHOL;Masoprocol;NCGC00094201-02;NCGC00094201-01;masoprocolum;Dihydronorguaiaretic Acid;meso-Nordihydroguaiaretic Acid;NORDIHYDROGUARETIC ACID;Nordihydroguaiaretic acid;NCGC00015741-01;1,2-Benzenediol, 4,4'-(2,3-dimethyl-1,4-butanediyl)bis-;Nordihydroguaiaretic acid from Larrea divaricata (creosote bush);Actinex;MESO-NORDIHYDROGUAIARETIC ACID;Nordihydroguaiaretic Acid, (R*,S*)-Isomer;",HCZKYJDFEPMADG,5-Lipoxygenase Inhibitor,ALOX5
NCGC00095118-05,C[S+]([O-])(=O)C1=CC=C(C=C1)C/2=C(/C(=O)OC2)C3=CC=CC=C3,ROFECOXIB,,RZJQGNCSTQAWON,Cyclooxygenase-2 Inhibitor,PTGS2
NCGC00263205-01,CC1(C)CNC2=C1C=CC(=C2)NC(=O)C3=CC=CN=C3NCC4=CC=NC=C4,Motesanib;AMG-706,,RAHBGWKEPAQNFF,"VEGFR-1,2,3 Inhibitor",FLT1
NCGC00346463-01,CNC(=O)C1=C(OC2=CC(=C(C=C12)C3CC3)N(CCO)[S+](C)([O-])=O)C4=CC=C(F)C=C4,Nesbuvir,,KGLWAGUVODXRDF,RNA-Directed RNA Polymerase Inhibitor,
NCGC00014650-03,CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4,Ansamitocin P3,,OPQNCARIZFLNLF,Tubulin polymerization inhibitor,TUBB
NCGC00163329-04,COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C3=C(Cl)C=CC=C3,CLOPIDOGREL SULFATE,,GKTWGGQPFAXNFI,P2Y12 (P2T) Antagonists,P2RY12
NCGC00167513-03,COC1=CC2=C(NC3=CC=C(Br)C=C3F)N=CN=C2C=C1OCC4CCN(C)CC4,Vandetanib;AZD-6474;CH-331;Caprelsa;ZD-6474;Zactima,,UHTHHESEBZOYNR,EGFR (HER1; erbB1) Inhibitor,EGFR
NCGC00346490-01,NCC(=O)NC1=CC=C(C=C1)[N]2N=C(C=C2C3=CC4=C(C=C3)C5=C(C=CC=C5)C=C4)C(F)(F)F,OSU-03012,,YULUCECVQOCQFQ,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,PDPK1
NCGC00346649-01,CC[N]1N=NC2=C1N=C(N=C2N3CCOCC3)C4=CC=C(NC(=O)NC5=CC=C(C=C5)C(=O)N6CCN(C)CC6)C=C4,PKI-402,,ZAXFYGBKZSQBIV,PI3K Inhibitor,PIK3CA
NCGC00167466-03,ClCCN(N=O)C(=O)NC1CCCCC1,Lomustine (CeeNU),,GQYIWUVLTXOXAJ,DNA Alkylating Agent,
NCGC00346547-01,CCCCCCCCCCCCC1=CC=C(C=C1)[S+]([O-])(=O)NC2=NN=CS2,PHT-427,,FFBZXUCNBWAAEE,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors,PDPK1
NCGC00347280-01,NC1=C(C#N)C(=CC(=N1)C2=C(OCC3CC3)C=CC=C2O)C4CCNCC4,IKK-2 Inhibitor VIII,,DYVFBWXIOCLHPP,IKK-2 (IKK-beta) Inhibitor,IKBKB
NCGC00016388-03,COC1=C(OC)C2=C(C=C1)[C@@H](OC2=O)[C@@H]3N(C)CCC4=C3C(=C5OCOC5=C4)OC,NOSCAPINE HYDROCHLORIDE,,AKNNEGZIBPJZJG,Tubulin polymerization inhibitors,TUBB
NCGC00346560-01,CC/1=C/N([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O,"Telbivudine (Sebivo, Tyzeka)",,IQFYYKKMVGJFEH,DNA Polymerase Inhibitors,
NCGC00263115-01,CC(C)(N)C(=O)N[C@H](COCC1=CC=CC=C1)C(=O)N2CCC3(CC2)CN(C4=C3C=CC=C4)[S+](C)([O-])=O,Ibutamoren mesilate;L-163191/MK-0677,,PQNWMTXPSNLKMV,Growth Hormone Secretagogue,GH1
NCGC00345822-01,CN(C)CC(C)(C)CNC1=N[N]2C(=NN=C2C3=CC=CC=C3)C=C1C4CCC4,Akt-I-1         (Akt-I-1),,FKCXKEHHZXEWGP,AKT Inhibitor,AKT1
NCGC00263271-02,COC1=CC=CC(=C1/C2=N/CC3=C(N=C(NC4=CC(=C(C=C4)C(O)=O)OC)N=C3)C5=CC=C(Cl)C=C25)F,MLN8237 (Alisertib),,ZLHFILGSQDJULK,Aurora-A inhibitor,AURKA
NCGC00346518-01,CC(O)C1C2C(C)\C(=C(/N2C1=O)C(O)=O)SC3CNC(C3)C(=O)N(C)C,Meropenem,,DMJNNHOOLUXYBV,Carbapenem Antibiotic,
NCGC00163470-09,CO[C@@H]1C[C@@H](CC[C@H]1O)/C=C(C)/[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)C)OC)[C@H](C[C@H]4C)OC,TACROLIMUS,,QJJXYPPXXYFBGM,Macrolide Antibiotic,
NCGC00163485-03,,Wortmannin,,,PI3K Inhibitor,PIK3CA
NCGC00346096-02,CC/1=C(/C(CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(F)C=C4[NH]N=CC4=C3,GSK429286A,,OLIIUAHHAZEXEX,"ROCK 1, ROCK 2 Inhibitor",ROCK1
NCGC00229512-04,COC1=C(C=C(SC2=CN=C(NC(=O)C3=CC=C(CNC(C)C(C)(C)C)C=C3)S2)C(=C1)C)C(=O)N4CCN(CC4)C(C)=O,BMS-509744,,ZHXNIYGJAOPMSO,ITK inhibitor,ITK
NCGC00346493-01,O=C(NC1CC1)NC2=C[NH]N=C2C3=NC4=CC(=CC=C4[NH]3)CN5CCOCC5,AT9283,,LOLPPWBBNUVNQZ,Aurora-A/B Inhibitor,AURKA
NCGC00346489-01,CC1COC2(CCN(CC2)C/3=N/C(=O)C4=CC(=CC(=C4S3)[N+]([O-])=O)C(F)(F)F)O1,BTZ043 racemate,,GTUIRORNXIOHQR,tuberculosis pathway inhibitor,
