Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00346607-01,,Curcumol,QRMPRVXWPCLVNI,mitochondrial modulator
NCGC00095537-06,,ARABITOL(D),HEBKCHPVOIAQTA,sugar alcohol
NCGC00263217-01,CERS1,NVP231,UDTWNDBVRLDPNE,Ceramide kinase inhibitor
NCGC00263184-01,NOTCH1,MK-0752,GWXSGTHYRGRKNP,g-Secretase Inhibitor
NCGC00094358-17,RARB,ISOTRETINON,SHGAZHPCJJPHSC,Retinoid RAR Agonists
NCGC00022567-08,ADA,Cladribine,PTOAARAWEBMLNO,Adenosine Deaminase Inhibitor
NCGC00262641-02,STAT3,NSC 74859 (S3I-201),YGLOOZMZDMUGDT,STAT-3 Inhibitor
NCGC00090782-07,,Nelfinavir mesylate,QAGYKUNXZHXKMR,HIV Protease Inhibitors
NCGC00242480-01,CFTR,Ivacaftor;VX-770?,PURKAOJPTOLRMP,CFTR Channel Activator
NCGC00346972-01,SPHK1,PF-543,NPUXORBZRBIOMQ,Sphingosine Kinase 1 (SphK1) Inhibitors
NCGC00159455-04,EGFR,Gefitinib;Iressa/ZD-1839,XGALLCVXEZPNRQ,EGFR (HER1; erbB1) inhibitor
NCGC00015121-16,,PHENOXYBENZAMINE HYDROCHLORIDE,QZVCTJOXCFMACW,adrenergenic receptor antagaonist
NCGC00021146-06,HTR2A,Ketanserin,FPCCSQOGAWCVBH,5-HT2A Antagonists?
NCGC00017245-12,AKR1B1,ELLAGIC ACID,AFSDNFLWKVMVRB,Aldose Reductase Inhibitor
NCGC00015771-12,,ORPHENADRINE CITRATE,QVYRGXJJSLMXQH,Muscarinic Antagonists
NCGC00094201-01,ALOX5,Nordihydroguaiaretic acid from Larrea divaricata (creosote bush),HCZKYJDFEPMADG,5-Lipoxygenase Inhibitor
NCGC00095118-05,PTGS2,ROFECOXIB,RZJQGNCSTQAWON,Cyclooxygenase-2 Inhibitor
NCGC00263205-01,FLT1,Motesanib;AMG-706,RAHBGWKEPAQNFF,VEGFR-1_:_2_:_3 Inhibitor
NCGC00346463-01,,Nesbuvir,KGLWAGUVODXRDF,RNA-Directed RNA Polymerase Inhibitor
NCGC00014650-03,TUBB,Ansamitocin P3,OPQNCARIZFLNLF,Tubulin polymerization inhibitor
NCGC00163329-04,P2RY12,CLOPIDOGREL SULFATE,GKTWGGQPFAXNFI,P2Y12 (P2T) Antagonists
NCGC00167513-03,EGFR,Vandetanib;AZD-6474;CH-331;Caprelsa;ZD-6474;Zactima,UHTHHESEBZOYNR,EGFR (HER1; erbB1) Inhibitor
NCGC00346490-01,PDPK1,OSU-03012,YULUCECVQOCQFQ,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors
NCGC00346649-01,PIK3CA,PKI-402,ZAXFYGBKZSQBIV,PI3K Inhibitor
NCGC00167466-03,,Lomustine (CeeNU),GQYIWUVLTXOXAJ,DNA Alkylating Agent
NCGC00346547-01,PDPK1,PHT-427,FFBZXUCNBWAAEE,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors
NCGC00347280-01,IKBKB,IKK-2 Inhibitor VIII,DYVFBWXIOCLHPP,IKK-2 (IKK-beta) Inhibitor
NCGC00016388-03,TUBB,NOSCAPINE HYDROCHLORIDE,AKNNEGZIBPJZJG,Tubulin polymerization inhibitors
NCGC00346560-01,,Telbivudine (Sebivo_:_ Tyzeka),IQFYYKKMVGJFEH,DNA Polymerase Inhibitors
NCGC00263115-01,GH1,Ibutamoren mesilate;L-163191/MK-0677,PQNWMTXPSNLKMV,Growth Hormone Secretagogue
