,HTR2A,G9
5-HT2A Antagonists?,NCGC00013841-08,SHH,F2
Hedgehog pathway inhibitor,NCGC00014352-03,SHH,G8
Hedgehog pathway inhibitor,NCGC00014352-03,SHH,G9
Hedgehog pathway inhibitor,NCGC00014352-03,,F2
Calcium Channel Blocker,NCGC00014926-03,,G8
Calcium Channel Blocker,NCGC00014926-03,,G9
5-HT2A Antagonists?,NCGC00015004-11,,F2
Muscarinic M3 Receptor Ligand,NCGC00015096-11,,G9
adrenergenic receptor antagaonist,NCGC00015121-16,SLC6A3,F2
Dopamine Transporter (DAT) Inhibitor,NCGC00015122-09,SLC6A3,G8
Constitutive Androstane Receptor Antagonist,NCGC00015205-07,BCL2L1,D10
Bcl-xL inhibitor,NCGC00015225-03,BCL2L1,F2
Bcl-xL inhibitor,NCGC00015225-03,BCL2L1,G9
Bcl-xL inhibitor,NCGC00015225-03,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00015233-04,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00015233-04,HRH1,F2
Histamine H1 Receptor Antagonists,NCGC00015252-13,SLC6A4,F2
Serotonin Transporter (SERT) Inhibitor,NCGC00015264-08,SLC6A4,G8
Serotonin Transporter (SERT) Inhibitor,NCGC00015264-08,SLC6A4,G9
5-HT Reuptake Inhibitor,NCGC00015267-09,,F2
Dopamine Reuptake Inhibitor,NCGC00015300-05,,G8
Dopamine Reuptake Inhibitor,NCGC00015300-05,,G9
Dopamine Reuptake Inhibitor,NCGC00015300-05,,G8
antimalarial agents,NCGC00015349-06,,G9
antimalarial agents,NCGC00015349-06,PDE5A,G8
Phosphodiesterase III/V (PDE5) inhibitor,NCGC00015385-12,PDE5A,G9
K(ATP) Channel Blockers,NCGC00015462-12,,F2
Calcium Channels (Voltage-Gated) alpha2/delta-1/2 Subunit Ligand,NCGC00015466-04,,F2
Dopamine Reuptake Inhibitor,NCGC00015484-06,,G8
Dopamine Reuptake Inhibitor,NCGC00015484-06,,G9
Dopamine Reuptake Inhibitor,NCGC00015484-06,DRD2,F2
Histamine H1 Receptor Antagonists,NCGC00015580-08,OPRM1,F2
mu-Opioid Antagonists,NCGC00015608-04,OPRM1,G8
mu-Opioid Antagonists,NCGC00015608-04,OPRM1,G9
mu-Opioid Antagonists,NCGC00015608-04,JAK1,D10
Jak inhibitor,NCGC00015610-18,JAK1,G8
Jak inhibitor,NCGC00015610-18,,G9
H+/K+-ATPase Inhibitor,NCGC00015615-14,HRH1,F2
Histamine H1 Receptor Antagonists,NCGC00015619-09,HTR2A,G9
5-HT2A Antagonists?,NCGC00015656-06,PDE3A,F2
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,PDE3A,G8
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,PDE3A,G9
Phosphodiesterase III (PDE3) Inhibitor,NCGC00015675-03,GRM5,F2
mgluR5 Antagonists,NCGC00015682-02,GRM5,G8
mgluR5 Antagonists,NCGC00015682-02,GRM5,G9
mgluR5 Antagonists,NCGC00015682-02,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00015693-08,,G9
noradrenaline reuptake inhibitor,NCGC00015708-17,ADRA1A,F2
